runid	operator	scenario	rc	result	argo_spend
s46hermes-gated_provision-r1-1788966277	hermes	gated_provision	0	RESULT: OK	equivalent $1.60
s46claude-gated_provision-r1-1788966568	claude-acp	gated_provision	0	RESULT: OK	equivalent $1.60
s46hermes-rich_gate-r1-1788966803	hermes	rich_gate	0	RESULT: OK	equivalent $3.36
s46claude-rich_gate-r1-1788967130	claude-acp	rich_gate	0	RESULT: OK	equivalent $3.36
s46hermes-spend_refusal-r1-1788967385	hermes	spend_refusal	0	RESULT: OK	equivalent $4.42
s46claude-spend_refusal-r1-1788967613	claude-acp	spend_refusal	0	RESULT: OK	equivalent $4.42
s46hermes-gated_provision-r2-1788967796	hermes	gated_provision	0	RESULT: OK	equivalent $6.28
s46claude-gated_provision-r2-1788968087	claude-acp	gated_provision	0	RESULT: OK	equivalent $6.28
s46hermes-rich_gate-r2-1788968320	hermes	rich_gate	0	RESULT: OK	equivalent $8.07
s46claude-rich_gate-r2-1788968599	claude-acp	rich_gate	0	RESULT: OK	equivalent $8.07
s46hermes-spend_refusal-r2-1788968850	hermes	spend_refusal	0	RESULT: OK	equivalent $9.14
s46claude-spend_refusal-r2-1788969054	claude-acp	spend_refusal	0	RESULT: OK	equivalent $9.14
s46claude-gated_provision-r3-1788972609	claude-acp	gated_provision	0	RESULT: OK	equivalent $11.06
s46claude-rich_gate-r3-1788973341	claude-acp	rich_gate	0	RESULT: OK	equivalent $12.84
s46hermes-spend_refusal-r3-1788973566	hermes	spend_refusal	0	RESULT: OK	equivalent $13.74
s46claude-spend_refusal-r3-1788973712	claude-acp	spend_refusal	0	RESULT: OK	equivalent $13.74
s46hermes-gated_provision-r4-1788974698	hermes	gated_provision	0	RESULT: OK	equivalent $16.11
s46claude-gated_provision-r4-1788974920	claude-acp	gated_provision	0	RESULT: OK	equivalent $16.11
s46hermes-rich_gate-r4-1788975134	hermes	rich_gate	0	RESULT: OK	equivalent $18.05
s46claude-rich_gate-r4-1788975356	claude-acp	rich_gate	0	RESULT: OK	equivalent $18.05
s46hermes-spend_refusal-r4-1788975575	hermes	spend_refusal	0	RESULT: OK	equivalent $18.96
s46claude-spend_refusal-r4-1788975712	claude-acp	spend_refusal	0	RESULT: OK	equivalent $18.96
s46hermes-gated_provision-r5-1788975870	hermes	gated_provision	0	RESULT: OK	equivalent $20.75
s46claude-gated_provision-r5-1788976082	claude-acp	gated_provision	0	RESULT: OK	equivalent $20.75
s46hermes-rich_gate-r5-1788976312	hermes	rich_gate	0	RESULT: OK	equivalent $22.71
s46claude-rich_gate-r5-1788976580	claude-acp	rich_gate	0	RESULT: OK	equivalent $22.71
s46hermes-spend_refusal-r5-1788976807	hermes	spend_refusal	0	RESULT: OK	equivalent $23.62
s46claude-spend_refusal-r5-1788976967	claude-acp	spend_refusal	0	RESULT: OK	equivalent $23.62
DONE	-	-	-	campaign complete	equivalent $23.62
